<meta>

    Title = Atlantic herring 001 - frozen Straightened Smoothed
    Fish_Length =  232.00
    Fish_Mass =  -99.00
    nsb =  1
    Bladder_Type =  0
    Rotated = s-lfbr:3.00000
    Smoothed[lfb,dfb,lsb,dsb] =  15, 13, 11,  0
    Images = L:\fishdat\aherr\atlantic_herring_001-fb-lateral.png,L:\fishdat\aherr\atlantic_herring_001-fb-dorsal.png,L:\fishdat\aherr\atlantic_herring_001-sb-lateral.png,L:\fishdat\aherr\atlantic_herring_001-sb-dorsal.png
    Preparer = B. Bell and M. Jech from frozen herring - frozen Sept. 2000

    straighten and rotated (+2) lfb, smoothed lfb, dfb, lsb

    File created: Wed Jul 31 12:47:01 2002

</meta>
       x       z-upper   z-lower   width      stbd      port
smoothed dorsal fishbody
     232
      0.00      0.00      0.00      0.00
      1.00      2.12     -2.32      4.36
      2.00      2.74     -3.05      5.69
      3.00      3.40     -3.82      7.01
      4.00      4.07     -4.62      8.27
      5.00      4.75     -5.44      9.46
      6.00      5.43     -6.25     10.55
      7.00      6.09     -7.03     11.52
      8.00      6.73     -7.77     12.35
      9.00      7.32     -8.45     13.09
     10.00      7.88     -9.08     13.80
     11.00      8.42     -9.67     14.45
     12.00      8.92    -10.23     15.07
     13.00      9.39    -10.74     15.63
     14.00      9.84    -11.23     16.14
     15.00     10.26    -11.70     16.60
     16.00     10.68    -12.14     17.01
     17.00     11.08    -12.56     17.38
     18.00     11.48    -12.98     17.72
     19.00     11.89    -13.39     18.04
     20.00     12.30    -13.80     18.35
     21.00     12.72    -14.20     18.66
     22.00     13.14    -14.58     18.96
     23.00     13.55    -14.96     19.27
     24.00     13.95    -15.32     19.59
     25.00     14.33    -15.66     19.91
     26.00     14.68    -15.97     20.23
     27.00     15.02    -16.25     20.54
     28.00     15.32    -16.52     20.86
     29.00     15.61    -16.76     21.17
     30.00     15.88    -16.98     21.48
     31.00     16.14    -17.18     21.77
     32.00     16.39    -17.37     22.06
     33.00     16.63    -17.56     22.34
     34.00     16.88    -17.73     22.62
     35.00     17.14    -17.91     22.89
     36.00     17.39    -18.08     23.15
     37.00     17.65    -18.25     23.41
     38.00     17.93    -18.43     23.67
     39.00     18.21    -18.61     23.93
     40.00     18.49    -18.80     24.19
     41.00     18.78    -19.00     24.45
     42.00     19.07    -19.22     24.70
     43.00     19.35    -19.44     24.95
     44.00     19.64    -19.67     25.20
     45.00     19.92    -19.91     25.44
     46.00     20.19    -20.16     25.68
     47.00     20.44    -20.41     25.92
     48.00     20.69    -20.66     26.17
     49.00     20.92    -20.91     26.41
     50.00     21.15    -21.16     26.67
     51.00     21.36    -21.40     26.93
     52.00     21.57    -21.63     27.19
     53.00     21.78    -21.85     27.46
     54.00     21.99    -22.06     27.73
     55.00     22.19    -22.27     28.00
     56.00     22.40    -22.47     28.26
     57.00     22.61    -22.67     28.52
     58.00     22.82    -22.87     28.76
     59.00     23.04    -23.07     28.98
     60.00     23.26    -23.28     29.19
     61.00     23.49    -23.49     29.38
     62.00     23.73    -23.70     29.55
     63.00     23.96    -23.89     29.71
     64.00     24.20    -24.07     29.86
     65.00     24.44    -24.25     30.00
     66.00     24.68    -24.40     30.14
     67.00     24.90    -24.55     30.27
     68.00     25.12    -24.67     30.41
     69.00     25.31    -24.79     30.54
     70.00     25.50    -24.90     30.68
     71.00     25.67    -25.01     30.81
     72.00     25.83    -25.11     30.95
     73.00     25.98    -25.21     31.09
     74.00     26.12    -25.31     31.22
     75.00     26.26    -25.40     31.34
     76.00     26.39    -25.48     31.45
     77.00     26.51    -25.57     31.55
